"pnr","preis"
"B00066KWNS","0.00"
"B000B5IOSE","0.00"
"3431035620","0.00"
"343103196X","0.00"
"3431035132","0.00"
"3431036341","0.00"
"3473520225","0.00"
"3473521450","0.00"
"3522175263","0.00"
"3522177231","0.00"
"3785555342","0.00"
"378555169X","0.00"
"3785553374","0.00"
"380253395X","0.00"
"3802533968","0.00"
"3802533976","0.00"
"347177274X","0.00"
"3548604854","0.00"
"3935746423","0.00"
"3937825002","0.00"
"3937825010","0.00"
"3937825045","0.00"
"3937825177","0.00"
"B000002H0X","0.00"
"B00000I92V","0.00"
"B0000041YE","0.00"
"B000024HI6","0.00"
"B000028D0M","0.00"
"B000025048","0.00"
"B000025LW0","0.00"
"B000026I2V","0.00"
"B00002470R","0.00"
"B0000265PK","0.00"
"B000026NO5","0.00"
"B00002DF2P","0.00"
"B000025U5T","0.00"
"B00002DGH1","0.00"
"B000024NZ8","0.00"
"B00004LN02","0.00"
"B00005UW52","0.00"
"B000062Y96","0.00"
"B00008PZW9","0.00"
"B00006LI24","0.00"
"B00016W8A8","0.00"
"B00016UZB2","0.00"
"B0002DSBXI","0.00"
"B0002VK5G6","0.00"
"B00064RU2Q","0.00"
"B000266XCG","0.00"
"B00005NJJ9","0.00"
"B000266XCQ","0.00"
"B000269S82","0.00"
"B0002TB60M","0.00"
"B0002UYA86","0.00"
"B0006IGJ2Y","0.00"
"B0002X4U9W","0.00"
"B0002H24N2","0.00"
"B00005YXLJ","0.00"
"B00007G75C","0.00"
"B0002JZ32E","0.00"
"B000A7X7PI","0.00"
"B000ANVNHG","0.00"
"B000CEGXI2","0.00"
"B00009AHNC","0.00"
"B0002Z7K24","0.00"
"B00069W4J0","0.00"
"B000AYQDW0","0.00"
"B000CAKWNS","0.00"
"B000024RPE","0.00"
"B000679OH2","0.00"
"B0002IU0JQ","0.00"
"B000A7XJ2Y","0.00"
"B0002Q054S","0.00"
"B00006JYLL","0.00"
"B0000256R2","0.00"
"B00002DDTY","0.00"
"B00005YXLJ","0.00"
"B00007GQGQ","0.00"
"B0006QAI5K","0.00"
"B0007UARJW","0.00"
"347177274X","0.00"
"3473344273","0.00"
"3473344435","0.00"
"3473344702","0.00"
"B000024A23","0.00"
"B00000B44F","0.00"
"B00004T0UM","0.00"
"B00006J9RM","0.00"
"B000ALCG06","0.00"
"B000026CGO","0.00"
"B0002H24MS","0.00"
"B000024UR6","0.00"
"B0000676WX","0.00"
"3899402669","0.00"
"B000024GF7","0.00"
"B00000ASN8","0.00"
"B00002695C","0.00"
"B0009Z5TZW","0.00"
"B00035W08M","0.00"
"B0002Z7K24","0.00"
"B00009AHNC","0.00"
"B00069KW58","0.00"
"B0009E26UY","0.00"
"B0009WFS2E","0.00"
"B00009MDDW","0.00"
"B0002IRXEQ","0.00"
"B00002S5DF","0.00"
"B0000046WZ","0.00"
"B000005HEQ","0.00"
"B0000267TD","0.00"
"B000C4JTT2","0.00"
"B000AQNK9W","0.00"
"B000269R24","0.00"
"B0006QAI5K","0.00"
"B00008HE5S","0.00"
"B0002Z8532","0.00"
"B00069JA2Y","0.00"
"B0007KTIN8","0.00"
"B000025OBV","0.00"
"B000023ZR9","0.00"
"B000003W0C","0.00"
"B00012HODI","0.00"
"B00012HOC4","0.00"
"B00012HOCY","0.00"
"B00020X1VI","0.00"
"B00012HOCY","0.00"
"B00012HODI","0.00"
"B0002ZLGUG","0.00"
"B0000DKKY2","0.00"
"B0001B0VDE","0.00"
"B00023BHHK","0.00"
"B00004VX9C","0.00"
"B0001J3VYW","0.00"
"B0000002ME","0.00"
"B000023XRI","0.00"
"B0000256TO","0.00"
"B00000I362","0.00"
"B00012HOCY","0.00"
"B00012HOC4","0.00"
"B00012HODI","0.00"
"B00009AHN2","0.00"
"B00004U68B","0.00"
"B00068WJLE","0.00"
"B000028DI3","0.00"
"B0002IQJL4","0.00"
"B00000AY6B","0.00"
"B00008ZZ2C","0.00"
"B0000525T3","0.00"
"B000002UVU","0.00"
"B000002G5O","0.00"
"B0000VB2E2","0.00"
"B0009NDGRW","0.00"
"B00016UZB2","0.00"
"B00067ZPBG","0.00"
"B0007M8HS8","0.00"
"B0000284G7","0.00"
"B0002UJKCW","0.00"
"B0002EGADA","0.00"
"B000007OWQ","0.00"
"B0001EQHFW","0.00"
"B0002CWXQU","0.00"
"B000620N8Q","0.00"
"B00008PZW3","0.00"
"B0001O2BXY","0.00"
"B000025QO2","0.00"
"B0002PZWQ0","0.00"
"B0007KTIN8","0.00"
"B0007XTOOS","0.00"
"B000B9UHRG","0.00"
"B0002HSE7C","0.00"
"B0006IQLMW","0.00"
"B00003ZL2S","0.00"
"B000003ZVF","0.00"
"B000003ZVH","0.00"
"B00016UZB2","0.00"
"B00016W8A8","0.00"
"B00064RU2Q","0.00"
"B00067ZPBG","0.00"
