"pnr","max","min"
"B0000A01J6",5,1
"B000025SZ0",5,1
"3800050889",5,1
"3520452030",5,1
"B0000CDUJT",5,1
"B00001SIBN",5,1
"B0009299KQ",5,1
"3870676590",5,1
"B000A3VTXY",5,1
"3440102092",5,1
"3937825002",5,1
"B00005UJYW",5,1
"B0007YMS2W",5,1
"B00005JIJT",5,1
"B00008OES9",5,1
"B0002S30NE",5,1
"B0000CGP44",5,1
"B00009LI6V",5,1
"B0007SK9OM",5,1
"B00064200S",5,1
"B00009YNGB",5,1
"398081890X",5,1
"3570016943",5,1
"3833714212",5,1
"3800051680",5,1
"3800051753",5,1
"B0002T1E4A",5,1
"B0000247Q5",5,1
"3570215075",5,1
"B00005S6LX",5,1
"3791504657",5,1
"3593375559",5,1
"B000002VC5",5,1
"B000001G4R",5,1
"B00007BHME",5,1
"B0007VCV68",5,1
"B00004NHJZ",5,1
"B0006BLIZ4",5,1
"B0007QCGT0",5,1
"B0000261OB",5,1
"B0000U2094",5,1
"B0001ELYGO",5,1
"B000BKSHIG",5,1
"3522177622",5,1
"B0002SLP2W",5,1
"B00007KGAO",5,1
"B00002695C",5,1
"B0009WFS2E",5,1
"B0001CKQXS",5,1
"B0006H2VCM",5,1
"B000BSNPR6",5,1
"B00005QZGP",5,1
"B000AQBALW",5,1
"B00004WI74",5,1
"B000679QWA",5,1
"B000AGK9UU",5,1
"3937825177",5,1
"B00005RDSY",5,1
"389830695X",5,1
"B00004WIID",5,1
"B0006H2UR8",5,1
"3466457513",5,1
"B00002S5DF",5,1
"3821229268",5,1
"B0006B969E",5,1
"3468266251",5,1
"3551552002",5,1
"3401023845",5,1
"3190028516",5,1
"B00006RYOL",5,1
"3785714130",5,1
"3423621915",5,1
"3937825134",5,1
"3833211385",5,1
"B0000B0A0T",5,1
"B0000902HD",5,1
"B000094HLD",5,1
"B000249FNC",5,1
"3473520284",5,1
"B000242BZG",5,1
"3898303039",5,1
"B000005E4I",5,1
"B00062137G",5,1
"3440102076",5,1
"B000B9UHRG",5,1
"B00065VU7G",5,1
"B0000247K8",5,1
"3401058371",5,1
"B0002JZ30G",5,1
"B0009ENFW2",5,1
"3593373912",5,1
"B0000505HK",5,1
"B00009AHNC",5,1
"B0000CAXIE",5,1
"B00009AHN2",5,1
"3802533976",5,1
"B0000CGV49",5,1
"B00023BHE8",5,1
"B0002UYA86",5,1
"3800050870",5,1
"3937825045",5,1
"B00095L8U2",5,1
"3937825061",5,1
"B000024BDU",5,1
"B0000256TO",5,1
"B0001U1PYO",5,1
"B0008EI7RQ",5,1
"B0000DJURY",5,1
"B00006J9TY",5,1
"B0002UYDB0",5,1
"B00006LJ95",5,1
"3980710653",5,1
"3833930136",5,1
"3897771136",5,1
"B00006RJSG",5,1
"B0007VCZ50",5,1
"3791504649",5,1
"B000BKHF9I",5,1
"3120101702",5,1
"B000003FOE",5,1
"B0007R8A9O",5,1
"B0009U55PG",5,1
"B00008Y4KY",5,1
"B000AANBG0",5,1
"3551552533",5,1
"B00028VJXC",5,1
"B00064HR0Q",5,1
"B0000041Q2",5,1
"B0000D7ZDS",5,1
"3789140244",5,1
"B0000241WM",5,1
"B0007WD8BY",5,1
"B000C4JTT2",5,1
"3866151101",5,1
"B00005TQ47",5,1
